"Estimated Delivery Time Message","Estimated Delivery Time Message"
"
                        This message will be displayed with the method title. You can use the following variables
                        that will be replaced with the corresponding values:
                        {{min_days}} {{max_days}} {{min_hours}} {{max_hours}}

                        Examples:
                        1) ""Estimated Delivery Time Display Type"" is set to ""Days only (rounded)""
                        Estimated delivery time min = 5
                        Estimated delivery time max = 6

                        {{min_days}} will output 5 {{max_days}} will output 6 {{min_hours}} will output nothing {{max_hours}} will output nothing

                        If the min or max value is set as the decimal value (5.6), then it will be rounded according to the math rules.

                        2) ""Estimated Delivery Time Display Type"" is set to ""Hours""
                        Estimated delivery time min = 5
                        Estimated delivery time max = 6

                        {{min_days}} will output nothing {{max_days}} will output nothing {{min_hours}} will output 5 {{max_hours}} will output 6

                        If the min or max value is set as the decimal value (5.6), then it will be rounded according to the math rules.

                        3) ""Estimated Delivery Time Display Type"" is set to ""Days with Hours""
                        Estimated delivery time min = 5
                        Estimated delivery time max = 6

                        {{min_days}} will output 5 {{max_days}} will output 6 {{min_hours}} will output nothing {{max_hours}} will output nothing

                        Estimated delivery time min = 5.4
                        Estimated delivery time max = 6

                        {{min_days}} will output 5 hours 10 minutes {{max_days}} will output 6 {{min_hours}} will output nothing {{max_hours}} will output nothing
                    ","
                        This message will be displayed with the method title. You can use the following variables
                        that will be replaced with the corresponding values:
                        {{min_days}} {{max_days}} {{min_hours}} {{max_hours}}

                        Examples:
                        1) ""Estimated Delivery Time Display Type"" is set to ""Days only (rounded)""
                        Estimated delivery time min = 5
                        Estimated delivery time max = 6

                        {{min_days}} will output 5 {{max_days}} will output 6 {{min_hours}} will output nothing {{max_hours}} will output nothing

                        If the min or max value is set as the decimal value (5.6), then it will be rounded according to the math rules.

                        2) ""Estimated Delivery Time Display Type"" is set to ""Hours""
                        Estimated delivery time min = 5
                        Estimated delivery time max = 6

                        {{min_days}} will output nothing {{max_days}} will output nothing {{min_hours}} will output 5 {{max_hours}} will output 6

                        If the min or max value is set as the decimal value (5.6), then it will be rounded according to the math rules.

                        3) ""Estimated Delivery Time Display Type"" is set to ""Days with Hours""
                        Estimated delivery time min = 5
                        Estimated delivery time max = 6

                        {{min_days}} will output 5 {{max_days}} will output 6 {{min_hours}} will output nothing {{max_hours}} will output nothing

                        Estimated delivery time min = 5.4
                        Estimated delivery time max = 6

                        {{min_days}} will output 5 hours 10 minutes {{max_days}} will output 6 {{min_hours}} will output nothing {{max_hours}} will output nothing
                    "
Rates,Rates
"Estimated Delivery Time Messages","Estimated Delivery Time Messages"
"Add New Method","Add New Method"
"You really want to change the status of the chosen methods?","You really want to change the status of the chosen methods?"
"Carrier Id","Carrier Id"
No,No
"Hidden without valid rates","Hidden without valid rates"
"Allow Free Shipping","Allow Free Shipping"
"Replaceable Title","Replaceable Title"
"Multi-rates price calc.","Multi-rates price calc."
"Estimated Delivery Time min","Estimated Delivery Time min"
"Estimated Delivery Time max","Estimated Delivery Time max"
"Display Estimated Delivery Time","Display Estimated Delivery Time"
"Replace Estimated Delivery Time","Replace Estimated Delivery Time"
"You really want to change the status of the chosen rules?","You really want to change the status of the chosen rules?"
"Rate Information","Rate Information"
"
                        The Rate with a max priority (e.g. 999)
                        will be applied first, then will be applied the Rate with a lower priority (e.g. 100).
                        The Rate with the lowest priority (e.g. 0) will be applied at the end.
                    ","
                        The Rate with a max priority (e.g. 999)
                        will be applied first, then will be applied the Rate with a lower priority (e.g. 100).
                        The Rate with the lowest priority (e.g. 0) will be applied at the end.
                    "
"Price Calculation Method","Price Calculation Method"
"
                        Allows to overwrite a price of a method or take the sum of the methods price and the
                        resulted price of the rate.
                    ","
                        Allows to overwrite a price of a method or take the sum of the methods price and the
                        resulted price of the rate.
                    "
"Region (plain text)","Region (plain text)"
"Zip From","Zip From"
"Zip To","Zip To"
"Total Price From","Total Price From"
"Total Price To","Total Price To"
"Total Qty From","Total Qty From"
"Total Qty To","Total Qty To"
"Total Weight From","Total Weight From"
"Total Weight To","Total Weight To"
"Rate Pricing","Rate Pricing"
"Total Price","Total Price"
"Price Per Each Product","Price Per Each Product"
"Price Per Each Item","Price Per Each Item"
"Price Per Each Product (% of the method price)","Price Per Each Product (% of the method price)"
"Price Per Each Item (% of the method price)","Price Per Each Item (% of the method price)"
"Price Per Each Item (% of the item price)","Price Per Each Item (% of the item price)"
"Price Per 1 Unit of Weight","Price Per 1 Unit of Weight"
"You really want to change the status of the chosen ratess?","You really want to change the status of the chosen ratess?"
"Region Id","Region Id"
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
"Price From","Price From"
"Price To","Price To"
"Qty From","Qty From"
"Qty To","Qty To"
"Weight From","Weight From"
"Weight To","Weight To"
"Price Per Product","Price Per Product"
"Price Per Item","Price Per Item"
"Price Percent Per Product","Price Percent Per Product"
